step,t,wing_q,wing_qd,wing_qdd,airspeed,body_pitch_deg,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R
10,0.041666666666666664,0.26179938779914935,5.698218757764056,-41.34170224039975,5.0,15.0,0.0,0.006856510881334543,0.0,-6.361958367051557e-05,0.0,0.00045715790474787354,0.0,0.0,0.006856510881334543,0.00045715790474787354,-6.361958367051557e-05,0.0,-0.0017741736955940723,-0.00014903357077855617,0.006621317006647587,0.0004419385804794729,-6.360455154208466e-05,0.00011698526941472664,0.0,-0.006859011482447386,0.0,-0.00023488097940571606,0.0,-0.00045730118290521204,0.0,0.0,-0.006859011482447386,-0.00045730118290521204,-0.00023488097940571606,0.0,0.0017747986130416393,-0.00015301052189897746,-0.006623648107051849,-0.00044307520147413015,-0.0002348225243622437,-0.00011329691187711433
11,0.04583333333333333,0.2851723318769071,5.518231152305512,-45.032609628179806,5.0,15.0,0.0,0.007208379451185465,0.0,-6.963824125705287e-05,0.0,0.0004805897769983858,0.0,0.0,0.007208379451185465,0.0004805897769983858,-6.963824125705287e-05,0.0,-0.0018656017491593957,-5.856497955392115e-05,0.00696253078058362,0.0004643605789169669,-6.96359493304044e-05,0.00012383911234792322,0.0,-0.0072159115225076675,0.0,6.949791713850573e-05,0.0,-0.00048110957141034305,0.0,0.0,-0.0072159115225076675,-0.00048110957141034305,6.949791713850573e-05,0.0,0.0018675425089895725,-6.285910785663873e-05,-0.006969771347939968,-0.0004645595035981387,6.949528324184939e-05,-0.00012510496890172362
12,0.05,0.3077636384150761,5.323118458826043,-48.60008576314734,5.0,15.0,0.0,0.007502565160393715,0.0,-7.49136961530894e-05,0.0,0.0005002454854547977,0.0,0.0,0.007502565160393715,0.0005002454854547977,-7.49136961530894e-05,0.0,-0.0019417653093114495,4.7500237997155637e-05,0.007246776949614286,0.00048307733959518373,-7.491219730582088e-05,0.00012993103882763535,0.0,-0.007515424862504005,0.0,7.485400419682264e-05,0.0,-0.0005011045723222196,0.0,0.0,-0.007515424862504005,-0.0005011045723222196,7.485400419682264e-05,0.0,0.001945100724697113,4.31643748015631e-05,-0.007259224075824022,-0.0004841411719098687,7.485276728402823e-05,-0.00012927998614031821
13,0.05416666666666667,0.3295113862127375,5.11341546765636,-52.03435244118863,5.0,15.0,0.0,0.0077428994700312614,0.0,-7.950059080030769e-05,0.0,0.0005162843153811991,0.0,0.0,0.0077428994700312614,0.0005162843153811991,-7.950059080030769e-05,0.0,-0.0020035437773913145,0.00016652954218443483,0.007477337494492531,0.0004982498940080404,-7.948219717945904e-05,0.00013527562259696424,0.0,-0.007760076783597469,0.0,7.951010047690943e-05,0.0,-0.0005174324032850564,0.0,0.0,-0.007760076783597469,-0.0005174324032850564,7.951010047690943e-05,0.0,0.002008013194426894,0.00016242022684309632,-0.007494017481803894,-0.0005002320976927876,7.949268183438107e-05,-0.00013231374032329768
14,0.058333333333333334,0.35035596620484544,4.8896969601189815,-55.32599657605211,5.0,15.0,0.0,0.007930793799459934,0.0,-8.342519868165255e-05,0.0,0.0005288347601890564,0.0,0.0,0.007930793799459934,0.0005288347601890564,-8.342519868165255e-05,0.0,-0.0020512104965746403,0.0002956688986159861,0.0076552340760827065,0.0005100102280266583,-8.33672092994675e-05,0.000139876501634717,0.0,-0.007951632142066956,0.0,-0.0002822863170877099,0.0,-0.0005302302306517959,0.0,0.0,-0.007951632142066956,-0.0005302302306517959,-0.0002822863170877099,0.0,0.0020566429011523724,0.00029202847508713603,-0.007675506174564362,-0.0005094799562357366,-0.0002820958907250315,-0.00014724738139193505
15,0.0625,0.37024024484653045,4.652576133092586,-58.465995999963496,5.0,15.0,0.0,0.008068650960922241,0.0,-8.672424155520275e-05,0.0,0.0005380319198593497,0.0,0.0,0.008068650960922241,0.0005380319198593497,-8.672424155520275e-05,0.0,-0.0020853232126682997,0.0004319612926337868,0.007782542146742344,0.0005184973124414682,-8.659987361170352e-05,0.00014373738667927682,0.0,-0.008092490956187248,0.0,8.684700151206926e-05,0.0,-0.0005396327469497919,0.0,0.0,-0.008092490956187248,-0.0005396327469497919,8.684700151206926e-05,0.0,0.002091543050482869,0.00042899305117316544,-0.007805755827575922,-0.0005224368069320917,8.672489639138803e-05,-0.00013522006338462234
16,0.06666666666666667,0.38910972071217503,4.402702918281985,-61.44574419276054,5.0,15.0,0.0,0.008158293552696705,0.0,0.00029338456806726754,0.0,0.0005439795786514878,0.0,0.0,0.008158293552696705,0.0005439795786514878,0.00029338456806726754,0.0,-0.00210631568916142,0.0005723605281673372,0.007860889658331871,0.0005307712708599865,0.00029266165802255273,0.00012091045209672302,0.0,-0.008185082115232944,0.0,-0.00029422735678963363,0.0,-0.0005457671941258013,0.0,0.0,-0.008185082115232944,-0.0005457671941258013,-0.00029422735678963363,0.0,0.002113304566591978,0.0005702695925720036,-0.007886970415711403,-0.0005218650330789387,-0.00029351236298680305,-0.00016105562099255621
17,0.07083333333333333,0.4069126738800326,4.140762200800501,-64.25707387176654,5.0,15.0,0.0,0.008200556971132755,0.0,0.0002965616004075855,0.0,0.0005468118470162153,0.0,0.0,0.008200556971132755,0.0005468118470162153,0.0002965616004075855,0.0,-0.002114403760060668,0.0007137221982702613,0.007891072891652584,0.0005348600097931921,0.00029543627169914544,0.00011659388110274449,0.0,-0.008228885009884834,0.0,9.175355808110908e-05,0.0,-0.0005487406742759049,0.0,0.0,-0.008228885009884834,-0.0005487406742759049,9.175355808110908e-05,0.0,0.002121788915246725,0.0007125758565962315,-0.007918636314570904,-0.0005320992204360664,9.140891052084044e-05,-0.00013434972788672894
18,0.075,0.42360030769293827,3.867471941947474,-66.89227937774449,5.0,15.0,0.0,0.008198123425245285,0.0,0.000298074766760692,0.0,0.0005466457223519683,0.0,0.0,0.008198123425245285,0.0005466457223519683,0.000298074766760692,0.0,-0.0021103089675307274,0.0008530905470252037,0.007875789888203144,0.0005360471550375223,0.00029645656468346715,0.00011152162187499925,0.0,-0.008228869177401066,0.0,9.337004303233698e-05,0.0,-0.0005486960289999843,0.0,0.0,-0.008228869177401066,-0.0005486960289999843,9.337004303233698e-05,0.0,0.002118308562785387,0.0008531070197932422,-0.007905648089945316,-0.000532505102455616,9.286692511523142e-05,-0.00013266269525047392
19,0.07916666666666666,0.43912688250655385,3.5835812113262486,-69.34413779557333,5.0,15.0,0.0,0.008151445537805557,0.0,-9.415479871677235e-05,0.0,0.0005435882485471666,0.0,0.0,0.008151445537805557,0.0005435882485471666,-9.415479871677235e-05,0.0,-0.002094211056828499,0.0009874021634459496,0.007815713994204998,0.0005221141036599874,-9.34614654397592e-05,0.00015170735423453152,0.0,-0.008183681406080723,0.0,-0.00029902567621320486,0.0,-0.0005457384395413101,0.0,0.0,-0.008183681406080723,-0.0005457384395413101,-0.00029902567621320486,0.0,0.002102578291669488,0.0009886074112728238,-0.007846939377486706,-0.0005177935818210244,-0.0002968357875943184,-0.00017613943782635033
20,0.08333333333333333,0.4534498410585544,3.2898681336964533,-71.60592875175645,5.0,15.0,0.0,0.008064350113272667,0.0,-9.46936197578907e-05,0.0,0.0005377746419981122,0.0,0.0,0.008064350113272667,0.0005377746419981122,-9.46936197578907e-05,0.0,-0.0020671896636486053,0.001114118262194097,0.007714869454503059,0.0005160645232535899,-9.378558024764061e-05,0.0001518226054031402,0.0,-0.008097543381154537,0.0,-0.0002974344533868134,0.0,-0.000539995264261961,0.0,0.0,-0.008097543381154537,-0.000539995264261961,-0.0002974344533868134,0.0,0.0020757769234478474,0.001116528525017202,-0.007746917195618153,-0.0005109808407723904,-0.0002945934538729489,-0.00017937511438503861
21,0.0875,0.46652992511512537,2.987137756188125,-73.67145283449808,5.0,15.0,0.0,0.007937438786029816,0.0,0.00029317886219359934,0.0,0.0005293095018714666,0.0,0.0,0.007937438786029816,0.0005293095018714666,0.00029317886219359934,0.0,-0.0020295199938118458,0.0012305472046136856,0.0075742811895906925,0.0005230375099927187,0.0002896342193707824,9.309220331488177e-05,0.0,-0.00797155499458313,0.0,9.50676403590478e-05,0.0,-0.0005315826856531203,0.0,0.0,-0.00797155499458313,-0.0005315826856531203,9.50676403590478e-05,0.0,0.0020383093506097794,0.0012342039262875915,-0.007607083767652512,-0.0005172790260985494,9.392129868501797e-05,-0.00012336616055108607
22,0.09166666666666666,0.47833128307505335,2.676219841723487,-75.53504858586027,5.0,15.0,0.0,0.007772636134177446,0.0,0.0002886385773308575,0.0,0.0005183123867027462,0.0,0.0,0.007772636134177446,0.0005183123867027462,0.0002886385773308575,0.0,-0.001981837907806039,0.001334360451437533,0.007396328262984753,0.0005134762614034116,0.0002843534166458994,8.628562500234693e-05,0.0,-0.007807946298271418,0.0,9.467278141528368e-05,0.0,-0.0005206231726333499,0.0,0.0,-0.007807946298271418,-0.0005206231726333499,9.467278141528368e-05,0.0,0.001990889897570014,0.001339340815320611,-0.0074301110580563545,-0.0005070865736342967,9.326953295385465e-05,-0.00011906065628863871
23,0.09583333333333333,0.48882156823647244,2.3579665946944437,-77.19160801942544,5.0,15.0,0.0,0.0075720446184277534,0.0,0.0002827548305504024,0.0,0.0005048997118137777,0.0,0.0,0.0075720446184277534,0.0005048997118137777,0.0002827548305504024,0.0,-0.0019248421303927898,0.0014235391281545162,0.0071836188435554504,0.0005014539347030222,0.0002777130575850606,7.933106826385483e-05,0.0,-0.007607152685523033,0.0,-0.0002839907247107476,0.0,-0.0005072269705124199,0.0,0.0,-0.007607152685523033,-0.0005072269705124199,-0.0002839907247107476,0.0,0.0019337930716574192,0.0014296012232080102,-0.007217025384306908,-0.00047613054630346596,-0.00027893076185137033,-0.00018283125245943666
24,0.1,0.4979720274569259,2.033250325129591,-78.63659062093227,5.0,15.0,0.0,0.007335915230214596,0.0,0.0002755314053501934,0.0,0.0004891811986453831,0.0,0.0,0.007335915230214596,0.0004891811986453831,0.0002755314053501934,0.0,-0.0018587734084576368,0.0014959934633225203,0.006937046535313129,0.0004870553966611624,0.0002697414020076394,7.233541691675782e-05,0.0,-0.00737068010494113,0.0,9.249775757780299e-05,0.0,-0.0004915059544146061,0.0,0.0,-0.00737068010494113,-0.0004915059544146061,9.249775757780299e-05,0.0,0.001867583254352212,0.0015030683716759086,-0.006969924084842205,-0.00047964032273739576,9.055406553670764e-05,-0.00010899102926487103
25,0.10416666666666667,0.5057575799637313,1.7029610577530556,-79.86603579350952,5.0,15.0,0.0,0.0070677269250154495,0.0,0.0002670920512173325,0.0,0.0004712805966846645,0.0,0.0,0.0070677269250154495,0.0004712805966846645,0.0002670920512173325,0.0,-0.0017846961272880435,0.0015505519695580006,0.006660586688667536,0.00047038786578923464,0.0002605852496344596,6.537688022945076e-05,0.0,-0.007102287840098143,0.0,-0.00026832750882022083,0.0,-0.0004735951079055667,0.0,0.0,-0.007102287840098143,-0.0004735951079055667,-0.00026832750882022083,0.0,0.0017933958442881703,0.0015586105873808265,-0.006693053059279919,-0.0004422172496560961,-0.0002617865684442222,-0.00017945382569450885
26,0.10833333333333334,0.5121568860986343,1.3680040924885908,-80.87657371339684,5.0,15.0,0.0,0.006768324878066778,0.0,-8.825229451758787e-05,0.0,0.0004513114981818944,0.0,0.0,0.006768324878066778,0.0004513114981818944,-8.825229451758787e-05,0.0,-0.0017030066810548306,0.0015858255792409182,0.006355717778205872,0.00043058174196630716,-8.579572022426873e-05,0.0001367808727081865,0.0,-0.006802828051149845,0.0,-0.000258703192230314,0.0,-0.0004536090127658099,0.0,0.0,-0.006802828051149845,-0.0004536090127658099,-0.000258703192230314,0.0,0.0017116308445110917,0.0015948350774124265,-0.006387901958078146,-0.0004224554286338389,-0.0002514934749342501,-0.00017598555132281035
27,0.1125,0.5171524058083297,1.029297523095415,-81.66543456639745,5.0,15.0,0.0,0.006440120283514261,0.0,0.00024671925348229706,0.0,0.00042939995182678103,0.0,0.0,0.006440120283514261,0.00042939995182678103,0.00024671925348229706,0.0,-0.001614490058273077,0.001601099967956543,0.006025367416441441,0.0004306438786443323,0.00023897297796793282,5.18890556122642e-05,0.0,-0.006473845802247524,0.0,8.609634824097157e-05,0.0,-0.0004316540143918246,0.0,0.0,-0.006473845802247524,-0.0004316540143918246,8.609634824097157e-05,0.0,0.0016228568274527788,0.0016108084237203002,-0.006056592334061861,-0.00042249029502272606,8.338864427059889e-05,-9.102778130909428e-05
28,0.11666666666666667,0.5207304467205274,0.6877697207370265,-82.23045613974631,5.0,15.0,0.0,0.006083925254642963,0.0,-8.279279427370057e-05,0.0,0.00040565236122347414,0.0,0.0,0.006083925254642963,0.00040565236122347414,-8.279279427370057e-05,0.0,-0.0015195159940049052,0.0015955845592543483,0.005670919548720121,0.00038621030398644507,-7.989476580405608e-05,0.00012596396845765412,0.0,-0.006116959732025862,0.0,8.317347965203226e-05,0.0,-0.00040785750024951994,0.0,0.0,-0.006116959732025862,-0.00040785750024951994,8.317347965203226e-05,0.0,0.0015276501653715968,0.001605907455086708,-0.005701275542378426,-0.0003996116283815354,8.025599527172744e-05,-8.44693640829064e-05
29,0.12083333333333333,0.5228812016737937,0.3443567893803865,-82.57008974858506,5.0,15.0,0.0,0.005702362395823002,0.0,-7.950587314553559e-05,0.0,0.0003801878192462027,0.0,0.0,0.005702362395823002,0.0003801878192462027,-7.950587314553559e-05,0.0,-0.001418893225491047,0.00156924978364259,0.00529538793489337,0.00036157044814899564,-7.643607386853546e-05,0.00011953367356909439,0.0,-0.005734996870160103,0.0,7.989039295352995e-05,0.0,-0.000382350932341069,0.0,0.0,-0.005734996870160103,-0.000382350932341069,7.989039295352995e-05,0.0,0.0014268697705119848,0.0015801656991243362,-0.005325158126652241,-0.0003750198520720005,7.679802365601063e-05,-7.769739022478461e-05
30,0.125,0.5235987755982988,4.028926479548237e-16,-82.68340448079951,5.0,15.0,0.0,0.005296585150063038,0.0,0.0002082761493511498,0.0,0.00035313627449795604,0.0,0.0,0.005296585150063038,0.00035313627449795604,0.0002082761493511498,0.0,-0.0013130378210917115,0.0015220079803839326,0.00490033021196723,0.00035659363493323326,0.00019949184206780046,3.358810499776155e-05,0.0,-0.005327766761183739,0.0,7.623665442224592e-05,0.0,-0.00035522523103281856,0.0,0.0,-0.005327766761183739,-0.00035522523103281856,7.623665442224592e-05,0.0,0.0013206014409661293,0.0015331078320741653,-0.004928558599203825,-0.0003487991343718022,7.30120882508345e-05,-7.074874156387523e-05
31,0.12916666666666665,0.5228812016737937,-0.3443567893803842,-82.57008974858506,5.0,15.0,0.0,0.00486889248713851,0.0,-7.187989103840664e-05,0.0,0.0003246052365284413,0.0,0.0,0.00486889248713851,0.0003246052365284413,-7.187989103840664e-05,0.0,-0.00120262720156461,0.0014543780125677586,0.004488272126764059,0.0003079874732065946,-6.859817949589342e-05,0.00010475340241100639,0.0,-0.004899251274764538,0.0,7.22530166967772e-05,0.0,-0.00032663438469171524,0.0,0.0,-0.004899251274764538,-0.00032663438469171524,7.22530166967772e-05,0.0,0.00120994180906564,0.001465720240958035,-0.004515569657087326,-0.0003210992435924709,6.89437729306519e-05,-6.365955778164789e-05
32,0.13333333333333333,0.5207304467205274,-0.6877697207370257,-82.23045613974632,5.0,15.0,0.0,0.004420544486492872,0.0,0.00017808229313232005,0.0,0.0002947116154246032,0.0,0.0,0.004420544486492872,0.0002947116154246032,0.00017808229313232005,0.0,-0.001088051707483828,0.0013668646570295095,0.004060669802129269,0.00029892128077335656,0.00016935530584305525,2.308879811607767e-05,0.0,-0.004449847154319286,0.0,6.793648208258674e-05,0.0,-0.00029666576301679015,0.0,0.0,-0.004449847154319286,-0.00029666576301679015,6.793648208258674e-05,0.0,0.0010950673604384065,0.001378258690237999,-0.0040868534706532955,-0.00029200324206613004,6.459563883254305e-05,-5.6457553000655025e-05
33,0.1375,0.5171524058083297,-1.0292975230954156,-81.66543456639744,5.0,15.0,0.0,0.003953923471271992,0.0,0.00016179707017727196,0.0,0.00026359286857768893,0.0,0.0,0.003953923471271992,0.00026359286857768893,0.00016179707017727196,0.0,-0.0009699471993371844,0.0012605799129232764,0.003619896713644266,0.00026796202291734517,0.00015335387433879077,1.839670403569471e-05,0.0,-0.003982217982411385,0.0,-0.0001628672907827422,0.0,-0.0002654655836522579,0.0,0.0,-0.003982217982411385,-0.0002654655836522579,-0.0001628672907827422,0.0,0.0009766857838258147,0.001271920627914369,-0.003645046381279826,-0.00024295637558680028,-0.00015433630323968828,-0.00011895474744960666
34,0.14166666666666666,0.5121568860986343,-1.3680040924885901,-80.87657371339684,5.0,15.0,0.0,0.003471632255241275,0.0,-5.80457563046366e-05,0.0,0.00023137072275858372,0.0,0.0,0.003471632255241275,0.00023137072275858372,-5.80457563046366e-05,0.0,-0.0008489686297252774,0.001136982929892838,0.003168398980051279,0.00021856673993170261,-5.4844465921632946e-05,7.824567728675902e-05,0.0,-0.0034977374598383904,0.0,-0.00014583209122065455,0.0,-0.00023314193822443485,0.0,0.0,-0.0034977374598383904,-0.00023314193822443485,-0.00014583209122065455,0.0,0.000855152087751776,0.001147764502093196,-0.0031914759892970324,-0.00021281233057379723,-0.0001377569860778749,-0.00010656495578587055
35,0.14583333333333334,0.5057575799637313,-1.7029610577530565,-79.86603579350952,5.0,15.0,0.0,0.002970397239550948,0.0,0.00012707123823929578,0.0,0.00019811854872386903,0.0,0.0,0.002970397239550948,0.00019811854872386903,0.00012707123823929578,0.0,-0.0007243049331009388,0.0009958139853551984,0.002703145844861865,0.00020239355217199773,0.00011971770436502993,1.0128228495887015e-05,0.0,-0.0029956777580082417,0.0,-0.00012804256402887404,0.0,-0.00019981378864031285,0.0,0.0,-0.0029956777580082417,-0.00019981378864031285,-0.00012804256402887404,0.0,0.0007302780286408961,0.0010063600493595004,-0.0027254391461610794,-0.00018187242676503956,-0.00012060128938173875,-9.326414146926254e-05
36,0.15,0.497972027456926,-2.03325032512959,-78.63659062093228,5.0,15.0,0.0,0.0024590124376118183,0.0,0.00010882365313591436,0.0,0.00016400919412262738,0.0,0.0,0.0024590124376118183,0.00016400919412262738,0.00010882365313591436,0.0,-0.000598058570176363,0.0008410094887949526,0.002231988124549389,0.0001680536661297083,0.00010226113954558969,6.4979503804352134e-06,0.0,-0.002482843119651079,0.0,-0.00010974703764077276,0.0,-0.00016560463700443506,0.0,0.0,-0.002482843119651079,-0.00016560463700443506,-0.00010974703764077276,0.0,0.0006036808481439948,0.0008510012412443757,-0.002252970589324832,-0.00015022605657577515,-0.00010309918434359133,-7.919593917904422e-05
37,0.15416666666666667,0.48882156823647244,-2.357966594694443,-77.19160801942544,5.0,15.0,0.0,0.0019388783257454634,0.0,9.014013630803674e-05,0.0,0.00012915971456095576,0.0,0.0,0.0019388783257454634,0.00012915971456095576,9.014013630803674e-05,0.0,-0.0004704927559942007,0.0006743008270859718,0.001755905570462346,0.00013287237379699945,8.451328903902322e-05,3.148297992083826e-06,0.0,-0.0019615322817116976,0.0,4.198687383905053e-05,0.0,-0.00013066755491308868,0.0,0.0,-0.0019615322817116976,-0.00013066755491308868,4.198687383905053e-05,0.0,0.0004758411378134042,0.0006837285473011434,-0.0017758657922968268,-0.00013000307080801576,3.935359563911334e-05,-1.9682587662828155e-05
