f_hz,pitch_deg,airspeed,mean_Fx,mean_Fz,mean_Pin,mean_sep_ratio,csv
3.2,15.0,7.0,-1.345475972309274,8.634837235501013,24.192884500066516,0.09804662967663116,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch15p000_U7p000/windtunnel_v50.csv
3.2,15.0,8.0,-1.8145648795248068,11.446295521640078,26.88096070700247,0.0729315941958903,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p200_pitch15p000_U8p000/windtunnel_v50.csv
3.4000000000000004,10.0,5.0,-0.14930364157565107,3.3997799113153695,22.372353792377197,0.1741260248148864,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch10p000_U5p000/windtunnel_v50.csv
3.4000000000000004,10.0,6.0,-0.2099598747746638,4.707113502251612,25.86198460265589,0.11919560525682989,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch10p000_U6p000/windtunnel_v50.csv
3.4000000000000004,10.0,7.0,-0.32506017185288755,6.32737925928281,29.762403688438244,0.07960622433095674,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch10p000_U7p000/windtunnel_v50.csv
3.4000000000000004,10.0,8.0,-0.5103449675921419,8.295748902562543,33.794179178541036,0.0515580338899616,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch10p000_U8p000/windtunnel_v50.csv
3.4000000000000004,11.0,5.0,-0.25483827507862167,3.696438411907889,22.34994324407149,0.17892298204515647,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch11p000_U5p000/windtunnel_v50.csv
3.4000000000000004,11.0,6.0,-0.35372898522336693,5.124636610044411,25.776173145029972,0.12498741487995281,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch11p000_U6p000/windtunnel_v50.csv
3.4000000000000004,11.0,7.0,-0.5103526040833901,6.89612767857836,29.588031908477767,0.08565580339651233,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch11p000_U7p000/windtunnel_v50.csv
3.4000000000000004,11.0,8.0,-0.7440285258800065,9.045086965019303,33.489214244180026,0.05778950623611856,outputs_DeLaurier/trim_scan_sep_on_twist_on_near_stall_20/f3p400_pitch11p000_U8p000/windtunnel_v50.csv
