progress_s,x_ref,y_ref,z_ref
207.57665801316202,48.2930082591768,84.74327025462983,10.0
208.5746227151484,47.90976420745696,83.82193919688845,10.0
209.57258741713474,47.48104344509982,82.92087014900068,10.0
210.5705521191211,47.007913194117236,82.04230615773848,10.0
211.56851682110744,46.49155122582947,81.18843424764694,10.0
212.56648152309378,45.93324292901866,80.36137997684622,10.0
213.56444622508016,45.334378110188425,79.56320214584306,10.0
214.5624109270665,44.69644753389436,78.79588767252295,10.0
215.56037562905286,44.02103921175799,78.06134664608099,10.0
216.5583403310392,43.30983444940215,77.361407572204,10.0
217.55630503302555,42.56460366114759,76.69781282133945,10.0
218.55426973501196,41.787201962890116,76.07221429138279,10.0
219.5522344369983,40.979564554128544,75.48616929557932,10.0
220.55019913898465,40.14370190063888,74.94113668587727,10.0
221.548163840971,39.28169472978722,74.4384732213826,10.0
222.54612854295735,38.395688850939194,73.979430190955,10.0
223.54409324494372,37.4878898138594,73.56515029835285,10.0
224.54205794693007,36.560557418398346,73.19666481768101,10.0
225.54002264891642,35.61600008913359,72.8748910262224,10.0
226.53798735090277,34.65656912896834,72.60062992104366,10.0
227.53595205288912,33.68465286599268,72.37456422505946,10.0
228.53391675487552,32.70267070817684,72.19725668751833,10.0
229.53188145686187,31.713067120697502,72.06914868314145,10.0
230.52984615884822,30.718305540887826,71.99055911340072,10.0
231.52781086083456,29.720862245960706,71.96168361267192,10.0
232.5257755628209,28.723220188768742,71.98259406123864,10.0
233.5237402648073,27.72786281694698,72.05323840635947,10.0
234.52170496679364,26.737267890823645,72.17344079184375,10.0
235.51966966877998,25.753901315488374,72.34290199581343,10.0
236.51763437076633,24.780211002372255,72.56120017556131,10.0
237.51559907275268,23.81862077561931,72.82779191765138,10.0
238.51356377473908,22.871524338419164,73.14201359064728,10.0
239.51152847672543,21.94127931432051,73.50308299710146,10.0
240.50949317871178,21.030201378357717,73.9101013206929,10.0
241.50745788069813,20.140558492600952,74.36205536366613,10.0
242.50542258268447,19.274565260479143,74.85782006900186,10.0
243.50338728467085,18.434377413929095,75.396161321041,10.0
244.5013519866572,17.6220864470949,75.97573901759,10.0
245.49931668864355,16.839714409935258,76.59511040586047,10.0
246.4972813906299,16.089208874699516,77.25273367393872,10.0
247.49524609261624,15.372438087802381,77.94697178884479,10.0
248.49321079460265,14.691186319165858,78.67609657162697,10.0
249.491175496589,14.047149420605272,79.43829299934745,10.0
250.48914019857534,13.441930604315814,80.23166372325063,10.0
251.4871049005617,12.877036451968923,81.05423379186588,10.0
252.48506960254804,12.353873164352287,81.90395556728862,10.0
253.4830343045344,11.87374306088995,82.77871382240073,10.0
254.48099900652076,11.437841337756147,83.67633100634185,10.0
255.4789637085071,11.04725309265256,84.59457266512476,10.0
256.47692841049343,10.702950623656058,85.53115300389995,10.0
257.4748931124798,10.405791008860085,86.4837405770247,10.0
258.4728578144662,10.156513972835452,87.44996409177081,10.0
259.47082251645253,9.95574004522118,88.42741831122446,10.0
260.4687872184389,9.80396901602921,89.41367004168453,10.0
261.4667519204252,9.70157869150859,90.40626418965336,10.0
262.4647166224116,9.648823953665786,91.40272987334377,10.0
263.462681324398,9.645836125782523,92.40058657348769,10.0
264.4606460263843,9.69262264551045,93.39735030813554,10.0
265.4586107283707,9.789067046356461,94.39053981607593,10.0
266.456575430357,9.934929247604778,95.37768273348175,10.0
267.45454013234337,10.129846151953988,96.35632174840826,10.0
268.4525048343298,10.373332549381502,97.32402071782246,10.0
269.4504695363161,10.664782324985175,98.27837073193575,10.0
270.44843423830247,11.003469967795684,99.21699611074504,10.0
271.4463989402888,11.388552376803528,100.13756031785398,10.0
272.44436364227516,11.819070959704959,101.03777177685349,10.0
273.4423283442615,12.293954019142337,101.91538957578238,10.0
274.44029304624786,12.812019420499006,102.76822904546859,10.0
275.4382577482342,13.371977534607328,103.59416719786357,10.0
276.43622245022055,13.97243444804501,104.39114801083356,10.0
277.4341871522069,14.611895433027838,105.15718754625081,10.0
278.4321518541933,15.288768668261405,105.89037888864513,10.0
279.43011655617966,16.001369201489336,106.58889689212154,10.0
280.428081258166,16.74792314387433,107.25100272372771,10.0
281.42604596015235,17.526572085770045,107.87504819196067,10.0
282.4240106621387,18.33537772289261,108.4594798496386,10.0
283.4219753641251,19.172326681374955,109.00284286092375,10.0
284.41994006611145,20.035335529693043,109.50378462287034,10.0
285.4179047680978,20.922255964988246,109.96105813248266,10.0
286.41586947008415,21.83088016087481,110.37352509090113,10.0
287.4138341720705,22.758946263420057,110.74015873698926,10.0
288.41179887405684,23.704144021616813,111.06004640326807,10.0
289.4097635760432,24.664120538330916,111.33239178783492,10.0
290.40772827802954,25.63648612740902,111.55651693661164,10.0
291.4056929800159,26.618820262365585,111.73186393098742,10.0
292.40365768200223,27.60867760184121,111.85799627665511,10.0
293.40162238398864,28.60359407683351,111.93459999018424,10.0
294.399587085975,29.601093024546284,111.96148438062522,10.0
295.39755178796133,30.598691353589427,111.93858252419977,10.0
296.3955164899477,31.5939057251812,111.86595143089535,10.0
297.39348119193403,32.5842587349664,111.74377190254924,10.0
298.39144589392043,33.567285080061836,111.5723480827754,10.0
299.3894105959068,34.54053769597741,111.35210669985455,10.0
300.38737529789313,35.501593848136395,111.08359600447196,10.0
301.3853399998795,36.44806116283014,110.76748440494765,10.0
302.3833047018658,37.37758358259565,110.40455880335597,10.0
303.38126940385223,38.28784723119007,109.99572263667656,10.0
304.3792341058386,39.17658617356272,109.5419936278532,10.0
305.3771988078249,40.04158805648663,109.04450125235837,10.0
306.3751635098113,40.880699615807714,108.50448392657037,10.0
307.3731282117976,41.691832036602285,107.92328592496219,10.0
308.37109291378397,42.472966152900376,107.30235403377556,10.0
309.3690576157703,43.22215747403048,106.6432339495111,10.0
310.36702231775666,43.93754102507372,105.94756643119923,10.0
311.364987019743,44.617335989378354,105.2170832160303,10.0
312.36295172172936,45.25985014157731,104.45360270851131,10.0
313.36091642371576,45.86348406007427,103.65902545387992,10.0
314.3588811257021,46.42673510851124,102.83532940704464,10.0
315.35684582768846,46.948201176307556,101.98456500882708,10.0
316.3548105296748,47.467431727102294,101.13243343045482,10.0
317.35277523166116,48.028488480240085,100.30724118564402,10.0
318.35073993364756,48.63000546124783,99.5110601492604,10.0
319.3487046356339,49.27048530349668,98.74587226853416,10.0
320.34666933762026,49.94833364943322,98.01358233889664,10.0
321.3446340396066,50.661863119441236,97.3160132623404,10.0
322.34259874159295,51.40929751226493,96.65490150963765,10.0
323.3405634435793,52.188776226537506,96.03189279771348,10.0
324.33852814556565,52.998358892408326,95.44853799293432,10.0
325.336492847552,53.836030201739156,94.90628925050942,10.0
326.33445754953834,54.69970492484559,94.4064963996157,10.0
327.3324222515247,55.58723310129537,93.95040358324476,10.0
328.3303869535111,56.49640539184214,93.53914616113607,10.0
329.32835165549744,57.424958578171676,93.17374788350646,10.0
330.3263163574838,58.3705811967707,92.85511834261082,10.0
331.32428105947014,59.33091929289276,92.58405070847851,10.0
332.3222457614565,60.303582280298606,92.36121975446142,10.0
333.3202104634429,61.28614889218391,92.18718017750896,10.0
334.31817516542924,62.276173208480394,92.06236521735147,10.0
335.3161398674156,63.27119074452732,91.98708557802891,10.0
336.31410456940193,64.26872458595557,91.96152865444998,10.0
337.3120692713883,65.26629155451351,91.98575806590674,10.0
338.3100339733747,66.26140838948564,92.05971349770606,10.0
339.30799867536103,67.25159792931616,92.18321085131188,10.0
340.3059633773474,68.23439527805057,92.35594270262503,10.0
341.30392807933373,69.20735394124344,92.57747906725928,10.0
342.3018927813201,70.16805191605957,92.84726847090894,10.0
343.2998574833064,71.1140977204074,93.16463932214339,10.0
344.2978221852928,72.04313634609693,93.52880158421121,10.0
345.2957868872791,72.95285512120219,93.93884874169242,10.0
346.29375158926547,73.8409894670356,94.3937600571029,10.0
347.2917162912518,74.70532853540283,94.89240311183394,10.0
348.2896809932382,75.54372071210551,95.4335366251015,10.0
349.28764569522457,76.35407897299152,96.01581354388777,10.0
350.2856103972109,77.13438607922056,96.63778439618383,10.0
351.28357509919726,77.88269959881158,97.29790089918518,10.0
352.2815398011836,78.59715674197231,97.99451981345901,10.0
353.27950450317,79.2759789981742,98.72590703348855,10.0
354.27746920515636,79.91747656342919,99.49024190441185,10.0
355.2754339071427,80.52005254674846,100.28562175420957,10.0
356.27339860912906,81.08220694531043,101.1100666300593,10.0
357.2713633111154,81.60254037844388,101.96152422706632,10.0
