amp,delta,rel_Tbar,rel_Lbar,rel_Pinbar,rel_eta,rel_sep_ratio,rel_peak_power,rel_peak_normal,rel_share_suction,rel_share_Na
0.080000,0.420000,-0.005815,-0.001306,-0.003793,-0.009644,0.002768,-0.010990,-0.005373,-0.000070,-0.011313
0.080000,0.440000,-0.003908,-0.000827,-0.002808,-0.006735,0.001529,-0.008251,-0.004031,-0.000052,-0.009326
0.080000,0.460000,-0.002510,-0.000572,-0.001879,-0.004398,0.000996,-0.005506,-0.002689,-0.000035,-0.006779
0.080000,0.480000,-0.001203,-0.000315,-0.000946,-0.002151,0.000516,-0.002756,-0.001345,-0.000017,-0.003677
0.080000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.520000,0.001693,0.000280,0.000911,0.002602,-0.000775,0.002764,0.001346,0.000017,0.004253
0.080000,0.540000,0.002851,0.000493,0.001816,0.004659,-0.001095,0.005533,0.002694,0.000034,0.009103
0.080000,0.560000,0.003913,0.000712,0.002723,0.006618,-0.001365,0.008306,0.004042,0.000051,0.014547
0.080000,0.580000,0.005211,0.000975,0.003620,0.008799,-0.001864,0.011083,0.005392,0.000068,0.020599
0.080000,0.600000,0.006688,0.001392,0.004559,0.011195,-0.002745,0.013864,0.006743,0.000085,0.027264
0.080000,0.620000,0.007850,0.001658,0.005454,0.013232,-0.003168,0.016650,0.008095,0.000102,0.034560
0.080000,0.640000,0.009101,0.002020,0.006377,0.015380,-0.003816,0.018526,0.009449,0.000119,0.042501
0.080000,0.660000,0.010087,0.002232,0.007253,0.017215,-0.004043,0.021328,0.010803,0.000135,0.051083
0.080000,0.680000,0.011237,0.002516,0.008132,0.019213,-0.004498,0.024136,0.012158,0.000152,0.060328
0.080000,0.700000,0.013076,0.003134,0.009103,0.021979,-0.005971,0.026949,0.013515,0.000168,0.070249
0.100000,0.300000,-0.017615,-0.002790,-0.011731,-0.029695,0.005805,-0.034649,-0.016867,-0.000225,-0.009795
0.100000,0.320000,-0.015740,-0.002587,-0.010553,-0.026574,0.005295,-0.031220,-0.015188,-0.000201,-0.011762
0.100000,0.340000,-0.013730,-0.002260,-0.009343,-0.023291,0.004490,-0.027783,-0.013508,-0.000178,-0.013102
0.100000,0.360000,-0.012460,-0.002139,-0.008185,-0.020815,0.004490,-0.024338,-0.011825,-0.000156,-0.013805
0.100000,0.380000,-0.010407,-0.001859,-0.007007,-0.017536,0.003734,-0.020886,-0.010141,-0.000133,-0.013858
0.100000,0.400000,-0.008751,-0.001574,-0.005823,-0.014659,0.003212,-0.017425,-0.008455,-0.000110,-0.013258
0.100000,0.420000,-0.007013,-0.001276,-0.004658,-0.011725,0.002613,-0.013957,-0.006767,-0.000088,-0.011984
0.100000,0.440000,-0.004954,-0.000992,-0.003507,-0.008491,0.001836,-0.010480,-0.005078,-0.000066,-0.010033
0.100000,0.460000,-0.003160,-0.000570,-0.002311,-0.005483,0.000985,-0.006995,-0.003387,-0.000044,-0.007391
0.100000,0.480000,-0.001889,-0.000411,-0.001174,-0.003066,0.000900,-0.003502,-0.001694,-0.000022,-0.004055
0.100000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.520000,0.001000,0.000060,0.001086,0.002084,0.000239,0.003510,0.001696,0.000022,0.004768
0.100000,0.540000,0.002357,0.000288,0.002207,0.004553,-0.000031,0.007028,0.003394,0.000043,0.010269
0.100000,0.560000,0.003759,0.000549,0.003323,0.007059,-0.000388,0.010555,0.005094,0.000064,0.016517
0.100000,0.580000,0.004883,0.000846,0.004462,0.009303,-0.000639,0.014091,0.006795,0.000086,0.023515
0.100000,0.600000,0.006742,0.001286,0.005594,0.012267,-0.001591,0.017635,0.008498,0.000107,0.031283
0.100000,0.620000,0.008054,0.001565,0.006684,0.014640,-0.001936,0.021187,0.010202,0.000127,0.039834
0.100000,0.640000,0.010239,0.002245,0.007868,0.017966,-0.003504,0.024748,0.011908,0.000148,0.049172
0.100000,0.660000,0.011640,0.002652,0.008984,0.020440,-0.004131,0.028317,0.013615,0.000169,0.059320
0.100000,0.680000,0.012735,0.002872,0.010040,0.022549,-0.004257,0.031895,0.015324,0.000189,0.070292
0.100000,0.700000,0.013639,0.003079,0.011091,0.024458,-0.004244,0.035481,0.017035,0.000209,0.082097
0.120000,0.300000,-0.024046,-0.003432,-0.014223,-0.038821,0.008690,-0.042082,-0.018442,-0.000274,0.006791
0.120000,0.320000,-0.021166,-0.003073,-0.012762,-0.034367,0.007530,-0.037929,-0.016391,-0.000246,0.002873
0.120000,0.340000,-0.018757,-0.002818,-0.011322,-0.030423,0.006820,-0.033764,-0.014342,-0.000218,-0.000364
0.120000,0.360000,-0.015787,-0.002368,-0.009852,-0.025895,0.005445,-0.029587,-0.012294,-0.000190,-0.002902
0.120000,0.380000,-0.013273,-0.002076,-0.008436,-0.021894,0.004602,-0.025398,-0.010248,-0.000162,-0.004728
0.120000,0.400000,-0.010754,-0.001698,-0.007000,-0.017879,0.003607,-0.021196,-0.008203,-0.000135,-0.005826
0.120000,0.420000,-0.008449,-0.001387,-0.005583,-0.014111,0.002849,-0.016983,-0.006777,-0.000107,-0.006189
0.120000,0.440000,-0.006136,-0.001031,-0.004172,-0.010350,0.002007,-0.012756,-0.004771,-0.000080,-0.005798
0.120000,0.460000,-0.003676,-0.000628,-0.002765,-0.006458,0.000996,-0.008517,-0.002765,-0.000053,-0.004643
0.120000,0.480000,-0.001994,-0.000369,-0.001387,-0.003386,0.000683,-0.004265,-0.002050,-0.000027,-0.002716
0.120000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.520000,0.002739,0.000585,0.001426,0.004159,-0.001494,0.004278,0.002053,0.000026,0.003514
0.120000,0.540000,0.004489,0.000946,0.002798,0.007266,-0.002030,0.008569,0.004109,0.000052,0.007838
0.120000,0.560000,0.006915,0.001480,0.004184,0.011053,-0.003260,0.012872,0.006168,0.000078,0.012986
0.120000,0.580000,0.008959,0.001848,0.005510,0.014390,-0.003993,0.017189,0.008229,0.000104,0.018968
0.120000,0.600000,0.010886,0.002332,0.006876,0.017640,-0.004854,0.021520,0.010294,0.000129,0.025794
0.120000,0.620000,0.013227,0.002840,0.008219,0.021271,-0.006003,0.025863,0.012362,0.000155,0.033485
0.120000,0.640000,0.015080,0.003344,0.009566,0.024413,-0.006862,0.030220,0.014433,0.000180,0.042052
0.120000,0.660000,0.017086,0.003932,0.010918,0.027701,-0.007956,0.034590,0.016506,0.000205,0.051509
0.120000,0.680000,0.018603,0.004340,0.012214,0.030445,-0.008463,0.038974,0.018583,0.000229,0.061874
0.120000,0.700000,0.019847,0.004703,0.013496,0.032899,-0.008736,0.043371,0.020662,0.000254,0.073163
0.140000,0.300000,-0.027210,-0.003506,-0.016546,-0.044492,0.008829,-0.047147,-0.022970,-0.000322,0.005479
0.140000,0.320000,-0.024892,-0.003317,-0.014851,-0.040342,0.008452,-0.042578,-0.020592,-0.000289,0.001307
0.140000,0.340000,-0.021701,-0.002982,-0.013164,-0.035330,0.007331,-0.037843,-0.018214,-0.000256,-0.002104
0.140000,0.360000,-0.018272,-0.002564,-0.011473,-0.030091,0.005931,-0.033116,-0.015835,-0.000223,-0.004733
0.140000,0.380000,-0.015760,-0.002337,-0.009819,-0.025832,0.005377,-0.028393,-0.013514,-0.000190,-0.006566
0.140000,0.400000,-0.012534,-0.001919,-0.008154,-0.020858,0.004094,-0.023671,-0.011127,-0.000158,-0.007584
0.140000,0.420000,-0.010170,-0.001649,-0.006518,-0.016798,0.003550,-0.018949,-0.009055,-0.000126,-0.007774
0.140000,0.440000,-0.007824,-0.001245,-0.004857,-0.012743,0.002793,-0.014222,-0.006651,-0.000094,-0.007123
0.140000,0.460000,-0.005460,-0.000843,-0.003228,-0.008715,0.002021,-0.009491,-0.004249,-0.000063,-0.004177
0.140000,0.480000,-0.002828,-0.000468,-0.001613,-0.004449,0.001146,-0.004750,-0.002381,-0.000031,-0.002535
0.140000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.520000,0.002504,0.000418,0.001593,0.004091,-0.000879,0.004761,0.002384,0.000031,0.003580
0.140000,0.540000,0.004672,0.000803,0.003179,0.007825,-0.001512,0.009534,0.003990,0.000062,0.008029
0.140000,0.560000,0.007222,0.001340,0.004774,0.011939,-0.002620,0.014321,0.006376,0.000092,0.013356
0.140000,0.580000,0.010127,0.001998,0.006381,0.016403,-0.004138,0.019123,0.008762,0.000122,0.019577
0.140000,0.600000,0.012692,0.002549,0.007948,0.020477,-0.005288,0.023940,0.011146,0.000152,0.026708
0.140000,0.620000,0.014630,0.003081,0.009523,0.023925,-0.006047,0.028774,0.012478,0.000182,0.034763
0.140000,0.640000,0.016809,0.003635,0.011060,0.027564,-0.006987,0.033624,0.014833,0.000211,0.043758
0.140000,0.660000,0.018556,0.004059,0.012559,0.030729,-0.007464,0.038490,0.017181,0.000241,0.053709
0.140000,0.680000,0.020951,0.004793,0.014124,0.034586,-0.008832,0.043372,0.019518,0.000269,0.064635
0.140000,0.700000,0.022691,0.005443,0.015593,0.037696,-0.009714,0.048274,0.021805,0.000298,0.083623
0.160000,0.300000,-0.031156,-0.003443,-0.018841,-0.050957,0.009380,-0.052524,-0.027439,-0.000371,0.013344
0.160000,0.320000,-0.028179,-0.003386,-0.016949,-0.045906,0.008972,-0.047414,-0.024727,-0.000333,0.008232
0.160000,0.340000,-0.025256,-0.003161,-0.015024,-0.040894,0.008326,-0.042257,-0.021997,-0.000295,0.003904
0.160000,0.360000,-0.021547,-0.002801,-0.013116,-0.035124,0.007020,-0.036992,-0.019261,-0.000257,0.000384
0.160000,0.380000,-0.017655,-0.002308,-0.011205,-0.029187,0.005404,-0.031735,-0.016522,-0.000220,-0.002847
0.160000,0.400000,-0.015116,-0.002037,-0.009311,-0.024656,0.004905,-0.026465,-0.013779,-0.000182,-0.004454
0.160000,0.420000,-0.012202,-0.001796,-0.007450,-0.019800,0.004251,-0.021191,-0.011032,-0.000145,-0.005255
